Type	Depth	Parent
human hybrids in a work of fiction	1	__nothing__
homopolysaccharide	1	__nothing__
stipend	1	__nothing__
demon in a work of fiction	1	__nothing__
intellectual property	1	__nothing__
legislative election	1	__nothing__
profinite group	1	__nothing__
organ	1	__nothing__
single-sex school	1	__nothing__
atomic nucleus	1	__nothing__
Coxeter group	1	__nothing__
manual communication	1	__nothing__
historical administrative division	1	__nothing__
logarithm	1	__nothing__
bus stop	1	__nothing__
Y-DNA haplogroup	1	__nothing__
rapid transit train service	1	__nothing__
nilpotent group	1	__nothing__
positive real number	1	__nothing__
carbonated beverage	1	__nothing__
secondary source	1	__nothing__
fictional entity	1	__nothing__
fictional river	1	__nothing__
ayuntamiento	1	__nothing__
political studies	1	__nothing__
data compression	1	__nothing__
collector	1	__nothing__
palindrome	1	__nothing__
vertical structural element	1	__nothing__
light source	1	__nothing__
engine	1	__nothing__
personal testimonial	1	__nothing__
non-alcoholic beverage	1	__nothing__
smartphone	1	__nothing__
poetic form	1	__nothing__
self-proclaimed	1	__nothing__
murder attempt	1	__nothing__
Accipitridae	1	__nothing__
sulfur molecular entity	1	__nothing__
aircraft with jet engines	1	__nothing__
defense	1	__nothing__
open access	1	__nothing__
multi-storey urban building	1	__nothing__
youth wing	1	__nothing__
fictional duo	1	__nothing__
polysemy	1	__nothing__
deployment environment	1	__nothing__
delict	1	__nothing__
legal person	1	__nothing__
eye disease	1	__nothing__
ordinary matter	1	__nothing__
Q20575671	1	__nothing__
national youth football team	1	__nothing__
fatty acid	1	__nothing__
granular material	1	__nothing__
human voice	1	__nothing__
God Is Not Great	1	__nothing__
group action	1	__nothing__
superior planet	1	__nothing__
composite particle	1	__nothing__
settlement of Hungary	1	__nothing__
software engine	1	__nothing__
synonym (taxonomy)	1	__nothing__
property	1	something
exterior	1	__nothing__
game rules	1	__nothing__
calendar date	1	__nothing__
duration	1	__nothing__
zero-emissions vehicle	1	__nothing__
geographic map	1	__nothing__
cell	1	__nothing__
prefix	1	__nothing__
copy	1	something
medical procedure	1	__nothing__
aromatic amide	1	__nothing__
software component	1	__nothing__
cableway	1	__nothing__
blood type	1	__nothing__
artificial entity	1	something
abstract being	1	__nothing__
absorbed or reflected object light	1	__nothing__
phylum	1	__nothing__
numeral system	1	__nothing__
pseudoscience	1	__nothing__
Christianity	1	__nothing__
bird	1	__nothing__
investment management	1	__nothing__
structure	1	something
Q3754509	1	__nothing__
nebula	1	__nothing__
fictional building	1	__nothing__
personal data	1	__nothing__
surface water body	1	__nothing__
product bundling	1	__nothing__
aspect of music	1	__nothing__
animate object	1	__nothing__
Al-Ghaib	1	__nothing__
lyrics	1	__nothing__
physical activity	1	__nothing__
groupoid	1	__nothing__
operation point	1	__nothing__
low-level clouds	1	__nothing__
cyclooxygenase inhibitor	1	__nothing__
canal for transporting water	1	__nothing__
offense	1	__nothing__
discussion	1	__nothing__
part of	1	something
religious hymn	1	__nothing__
cycling race	1	__nothing__
national emblem	1	__nothing__
former building or structure	1	__nothing__
administrative type	1	__nothing__
ceremonial dress	1	__nothing__
public policy	1	__nothing__
rule	1	__nothing__
administrative territorial entity of Portugal	1	__nothing__
sonata	1	__nothing__
river ecosystem	1	__nothing__
military operation plan	1	__nothing__
Moufang loop	1	__nothing__
economic unit	1	__nothing__
supernatural being	1	__nothing__
meme	1	__nothing__
General fraternity	1	__nothing__
Wasserfrau	1	__nothing__
state with limited recognition	1	__nothing__
sibling	1	__nothing__
professional certification	1	__nothing__
criminal	1	__nothing__
function	1	__nothing__
aromatic carboxylic acid	1	__nothing__
municipal corporation	1	__nothing__
meeting house	1	__nothing__
station	1	__nothing__
graph	1	__nothing__
Lost artwork	1	__nothing__
restaurant chain	1	__nothing__
recognition	1	__nothing__
integrated circuit	1	__nothing__
fictional bovid	1	__nothing__
anthroponym	1	__nothing__
conversion	1	__nothing__
mound	1	__nothing__
specialty use of chemicals	1	__nothing__
material anatomical entity	1	__nothing__
terminal railway station	1	__nothing__
Afro-Asiatic languages	1	__nothing__
historical source	1	__nothing__
vortex	1	__nothing__
4-dimensional figure	1	__nothing__
capital ship	1	__nothing__
culture	1	__nothing__
villa urbana	1	__nothing__
unit fraction	1	__nothing__
exonym	1	__nothing__
technological component	1	__nothing__
nation at sport competition	1	__nothing__
military camp	1	__nothing__
public transport network	1	__nothing__
class	1	something
reward program	1	__nothing__
lock	1	__nothing__
late effect	1	__nothing__
summit level canal	1	__nothing__
domain name	1	__nothing__
music workstation	1	__nothing__
organ component	1	__nothing__
physical system	1	__nothing__
specialised classification scheme	1	__nothing__
history	1	__nothing__
digital circuit	1	__nothing__
periodic process	1	__nothing__
digital library	1	__nothing__
legal instrument	1	__nothing__
cellular anatomical entity	1	__nothing__
legal terminology	1	__nothing__
treasury	1	__nothing__
Kreishauptmannschaft	1	__nothing__
specialized higher education institution	1	__nothing__
combat vehicle	1	__nothing__
intelligence test	1	__nothing__
non-standard positional numeral system	1	__nothing__
flat figure	1	__nothing__
warrior	1	__nothing__
glycoprotein	1	__nothing__
trail	1	__nothing__
ion	1	__nothing__
chairperson	1	__nothing__
costume accessory	1	__nothing__
military equipment	1	__nothing__
Atlantic North, Eastern and Central Pacific Tropical Cyclones	1	__nothing__
Renaissance	1	__nothing__
documentary	1	__nothing__
isotope	1	__nothing__
frame of reference	1	__nothing__
natural building material	1	__nothing__
phrase	1	__nothing__
census geographic unit of Canada	1	__nothing__
object-oriented programming	1	__nothing__
MediaWiki main-namespace page	1	__nothing__
hypothetical scientific object	1	__nothing__
solution	1	__nothing__
liminal being	1	something
description	1	__nothing__
navigation system	1	__nothing__
Notorious Markets	1	__nothing__
code of law	1	__nothing__
observance	1	__nothing__
smart device	1	__nothing__
epicarp	1	__nothing__
nitrile	1	__nothing__
federal agency	1	__nothing__
dating method in archaeology	1	__nothing__
chronostratigraphic unit	1	__nothing__
temporal entity	1	__nothing__
monoterpene	1	__nothing__
motor vehicle	1	__nothing__
literary archetype	1	__nothing__
proper noun	1	__nothing__
diocese	1	__nothing__
polyamide	1	__nothing__
omnivore	1	__nothing__
animal feed	1	__nothing__
politician	1	__nothing__
narcotic	1	__nothing__
Northwest Pacific tropical cyclone	1	__nothing__
heparin	1	__nothing__
cultural depiction	1	__nothing__
hydrogen chalcogenide	1	__nothing__
subscription	1	__nothing__
epidemic	1	__nothing__
aggregator	1	__nothing__
chemical reaction	1	__nothing__
audiovisual work	1	__nothing__
Sensory System Agents	1	__nothing__
hegemony	1	__nothing__
conflict	1	__nothing__
group of fictitious objects	1	__nothing__
fictional mouse or rat	1	__nothing__
group object	1	__nothing__
LAU 2	1	__nothing__
narrative motif	1	__nothing__
heritage	1	__nothing__
prime element	1	__nothing__
biological sequence	1	__nothing__
acetylene	1	__nothing__
natural resource	1	__nothing__
classical state of matter	1	__nothing__
sacrament	1	__nothing__
Microsoft Windows	1	__nothing__
sketch	1	__nothing__
inflammation	1	__nothing__
Natural	1	__nothing__
device	1	__nothing__
combat sport	1	__nothing__
memorial column	1	__nothing__
state authority	1	__nothing__
parlour game	1	__nothing__
belief	1	__nothing__
rotorcraft	1	__nothing__
loudspeaker	1	__nothing__
groundwater	1	__nothing__
valley	1	__nothing__
image	1	__nothing__
trade name	1	__nothing__
rock	1	__nothing__
snow storm	1	__nothing__
awareness day	1	__nothing__
counterpoint	1	__nothing__
solid	1	__nothing__
affection	1	__nothing__
metasearch engine	1	__nothing__
cardinality	1	__nothing__
social stratification	1	__nothing__
carotenoid	1	__nothing__
mathematical problem	1	__nothing__
state power	1	__nothing__
descendant	1	__nothing__
canonization	1	__nothing__
religious corporation	1	__nothing__
green space	1	__nothing__
irregular warfare	1	__nothing__
medicinal product	1	__nothing__
suicide	1	__nothing__
separation of concerns	1	__nothing__
monarchy	1	__nothing__
carbohydrate binding proteins	1	__nothing__
statement	1	__nothing__
inorganic compound	1	__nothing__
physiological effect of drugs	1	__nothing__
tool	1	__nothing__
planet of the Solar System	1	__nothing__
money	1	__nothing__
finite set	1	__nothing__
lodging	1	__nothing__
tradition	1	__nothing__
intestinal disease	1	__nothing__
dose–response relationship	1	__nothing__
attack submarine	1	__nothing__
insignia	1	__nothing__
low pressure area	1	__nothing__
airplane with 2 engines	1	__nothing__
rail transport	1	__nothing__
computing infrastructure	1	__nothing__
adverse effect	1	__nothing__
fictional country	1	__nothing__
geography	1	__nothing__
sexuality	1	__nothing__
serine proteases	1	__nothing__
administrative territorial entity of Moscow	1	__nothing__
mythical entity	1	__nothing__
fixed-order metaclass	1	__nothing__
building of public administration	1	__nothing__
saying	1	__nothing__
arsenic compounds	1	__nothing__
ITU-T recommendation	1	__nothing__
spaceplane	1	__nothing__
linguistic norm	1	__nothing__
traditional fishing boat	1	__nothing__
endopeptidases	1	__nothing__
media industry	1	__nothing__
urban rail transit	1	__nothing__
space	1	__nothing__
pregnancy category	1	__nothing__
law enforcement	1	__nothing__
semigroup	1	__nothing__
Q24055548	1	__nothing__
horeca	1	__nothing__
coniferous forest	1	__nothing__
polyglot	1	__nothing__
rights	1	__nothing__
digital distribution	1	__nothing__
departamento	1	__nothing__
curve	1	__nothing__
Nucleic acid sequence	1	__nothing__
electricity	1	__nothing__
national park	1	__nothing__
fictional Pantherinae	1	__nothing__
declaration	1	__nothing__
data storage	1	__nothing__
chloride	1	__nothing__
amphitheatre	1	__nothing__
bunker	1	__nothing__
Local government in the Republic of Ireland	1	__nothing__
homicide	1	__nothing__
physical science	1	__nothing__
integer	1	__nothing__
service	1	__nothing__
worship	1	__nothing__
multiplayer game	1	__nothing__
Gun carriage	1	__nothing__
religious character	1	__nothing__
polar solvent	1	__nothing__
code	1	__nothing__
distributed data store	1	__nothing__
terrorism tactic	1	__nothing__
anthropomorphic canine	1	__nothing__
blue	1	__nothing__
attribute	1	__nothing__
disk image file	1	__nothing__
digital media	1	__nothing__
fictional toy	1	__nothing__
memorial complex	1	__nothing__
consortium of universities in France	1	__nothing__
Q61766772	1	__nothing__
railway	1	__nothing__
organic acid anhydride	1	__nothing__
Web API	1	__nothing__
bijou	1	__nothing__
object	1	something
toxin	1	__nothing__
horizontal structural element	1	__nothing__
knowledge	1	__nothing__
combustion engine	1	__nothing__
court	1	__nothing__
computer program	1	__nothing__
religion or world view	1	__nothing__
antimatter	1	__nothing__
high-trajectory artillery gun	1	__nothing__
over-the-top content	1	__nothing__
olefin	1	__nothing__
logistics	1	__nothing__
rational number	1	__nothing__
antenna array	1	__nothing__
arts educational institution	1	__nothing__
burial or funerary  structures	1	__nothing__
vehicle model series	1	__nothing__
extensive quantity	1	__nothing__
mine warfare vessel	1	__nothing__
wrestling event	1	__nothing__
inverse semigroup	1	__nothing__
work accident	1	__nothing__
state variable	1	__nothing__
cruiser	1	__nothing__
religious administrative entity	1	__nothing__
linguistic typology	1	__nothing__
pet	1	__nothing__
naval officer	1	__nothing__
cultivar	1	__nothing__
colleges within universities in the United Kingdom	1	__nothing__
geographic entity	1	__nothing__
individual	1	something
temperate forest	1	__nothing__
formation	1	__nothing__
RNA	1	__nothing__
morality	1	__nothing__
digital currency	1	__nothing__
writing implement	1	__nothing__
hemisphere	1	__nothing__
organohalogen compound	1	__nothing__
signal language	1	__nothing__
piperidine	1	__nothing__
municipality of Estonia	1	__nothing__
study of history	1	__nothing__
popular initiative	1	__nothing__
infection associated with diseases	1	__nothing__
exterior ornament of the shield	1	__nothing__
